event_id,vix_start,vix_end,vix_pct_change,avg_vix_volatility,pre_days_count,pre_event_return,pre_days_count_right
ITCI_20191220,,,,1.4063208857735854,21,0.3833347963748057,21
BIIB_20230929,,,,2.281969982262675,21,-0.037949445725092956,21
WYE_20071114,,,,3.4651436901310593,22,0.027393582793774574,22
JNJ_20111104,15.91,20.08,26.20993086109364,3.9915104626825544,22,0.034902961606892546,22
MDCO_20170829,,,,0.7493278066945136,21,-0.017965846939820396,21
JNJ_20090731,43.39,,,4.968000439958337,21,0.0878561516775267,21
GILD_20100222,,,,1.5530581397451362,19,0.059893546419004684,19
ASND_20240809,22.64,23.79,5.07950530035335,3.6945059192133094,22,-0.07673174989557785,22
VNDA_20090506,30.18,33.36,10.536779324055665,5.914055178893493,21,0.19780259478834705,21
GENZ_20041228,,,,1.9350824788586125,20,0.004285898453593617,20
TEVA_20161020,,,,1.903268133520067,22,-0.14516765839181722,22
AMPH_20030523,,,,4.362017652348178,22,0.20000147689233616,22
AZN_20231116,,,,1.3799205526107732,22,-0.06915357095271413,22
BDX_20000714,,,,2.698009899381896,21,0.013575759216934546,21
ANIP_20220114,,,,5.384832869600874,21,-0.06068678993818688,21
GSK_20090529,,,,3.1390204072351833,21,0.11002252082368802,21
NVO_20171205,,15.77,,2.250604472886102,20,0.022026075695449565,20
GILD_20210610,16.48,,,3.032043057679463,21,0.017340654187564697,21
LLY_20220513,,20.75,,4.453318117623821,21,-0.052844298667904854,21
TEVA_20180907,10.85,,,4.936097906743276,21,-0.06532176895932384,21
BPMC_20201201,15.18,,,11.818760568138233,20,0.05670522653537158,20
SNY_20170522,,,,1.4095715867027965,20,0.1548805570715699,20
CPIX_20090911,23.69,23.12,-2.406078514140989,6.401074242587576,21,-0.007129421231786948,21
BGNE_20240313,13.34,13.3,-0.29985007496251237,1.9434338868222063,21,0.11409780516536583,21
SNTS_20041221,,,,1.9350824788586125,20,-0.16449937572904627,20
HROW_20210623,,,,2.855928328616586,21,-0.07178564140308474,21
GSK_20180720,,,,4.970432612446372,21,-0.008528007879805233,21
VRTX_20110523,,,,6.07962333911628,20,0.11403600279835491,20
JNJ_20090925,,,,4.632027881112113,21,-0.006868474388793677,21
SNY_20161121,,,,3.32453984508294,20,0.06039735978170935,20
PFE_20210621,,,,2.855928328616586,19,-0.0285360808754207,19
MRK_20030917,,,,2.7227112928819466,21,0.07226085786047642,21
ACAD_20230310,16.09,,,2.3220488664101406,21,0.019891020321102237,21
PFE_20180927,,,,3.617175239115566,21,0.050503825321871254,21
TTPH_20180827,,,,8.165030268263573,20,0.08771727530571116,20
VRTX_20230426,,,,2.0811187589993407,21,0.05579036923200675,21
CEPH_20081031,23.45,,,14.367304226710594,22,-0.10195168499302942,22
NVO_20100125,,,,6.7601972961272345,18,-0.013037170139198473,18
GERN_20240606,12.48,13.49,8.092948717948715,8.970246037355462,21,0.07238747865531003,21
LLY_20180226,,,,3.225700532708759,19,-0.08905679154373236,19
TEVA_20230217,,,,1.941057601901986,22,-0.08348419996669687,22
TEVA_20081020,,,,14.367304226710594,20,-0.12481374289331071,20
PFE_20180724,,,,4.970432612446372,20,0.019170126513836427,20
AAPL_20040820,,,,0.6761045992861318,22,-0.04627195540620754,22
AZN_20090731,43.39,,,4.968000439958337,21,0.050069409721847924,21
RARE_20171115,,,,2.178159905208751,22,-0.15569721742594844,22
AZN_20050428,,,,0.37541505748098725,22,0.10323088020119431,22
SNY_20220831,,,,4.61768580086055,22,-0.17022285584809882,22
NVS_20090428,,,,5.736394600120374,20,-0.01485839902181263,20
BMY_20051223,,,,1.657442805552863,21,0.023725911232237884,21
TARO_20000412,,,,3.0508650082251663,22,-0.1950005351818075,22
RDY_20200514,,,,4.844941952510466,22,0.01608747542417155,22
MRK_20061016,,,,0.4822136088718223,20,0.05109388910968726,20
OYST_20211015,,,,1.7334790504939446,22,0.022034881967750275,22
AMGN_20100601,17.42,,,3.1487320359876927,20,-0.0964947585926349,20
AMGN_20180517,,,,7.655858051894054,22,0.0218230870684053,22
NVO_20171220,,,,1.8413907409858337,21,0.03692984789414022,21
PFE_20180515,,,,8.192808406900056,21,-0.003084598923516535,21
BIIB_20191029,,,,2.1423397680889322,21,0.28372911394362466,21
PFE_20031114,,,,3.83102602150645,22,0.08823690822783825,22
LLY_20101104,28.84,18.06,-37.37864077669904,3.2099751080808097,22,-0.02011138402451873,22
TEVA_20170117,,,,0.8759258119597962,18,-0.06956996939912663,18
LLY_20040803,15.39,,,0.5189112923610796,20,-0.08389700848321002,20
AVDL_20230501,,,,2.0811187589993407,19,0.14410260622491777,19
BMRN_20180524,,,,7.655858051894054,22,0.07773008572187012,22
BAX_20220125,,,,5.1521517924174365,20,0.004794146868984939,20
PFE_20160223,,,,3.224825327323353,20,-0.011594255492196615,20
CRMD_20231115,,,,1.4374992476502506,22,-0.0628771118722089,22
BDX_20021007,36.45,18.19,-50.0960219478738,7.6177726815417355,20,-0.04301918574076258,20
LLY_20240702,14.5,,,1.6336924722640616,20,0.11462331751786081,20
